Timestamp(ms); ID; FrameNumber; ActivatedCube; ActiveCubeX; ActiveCubeY; ActiveCubeZ; TrackerX; TrackerY; TrackerZ; GoalGesture; GesturesCompleted; State 
12-03-2025 13:58:37.1710; 0; 203; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.1820; 0; 204; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.1929; 0; 205; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2049; 0; 206; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2159; 0; 207; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2268; 0; 208; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2378; 0; 209; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2498; 0; 210; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2607; 0; 211; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2717; 0; 212; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2827; 0; 213; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.2937; 0; 214; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3046; 0; 215; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3166; 0; 216; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3276; 0; 217; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3385; 0; 218; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3495; 0; 219; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3615; 0; 220; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3724; 0; 221; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3844; 0; 222; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.3944; 0; 223; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4054; 0; 224; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4173; 0; 225; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4278; 0; 226; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4398; 0; 227; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4507; 0; 228; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4617; 0; 229; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4727; 0; 230; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4837; 0; 231; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.4946; 0; 232; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5066; 0; 233; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5176; 0; 234; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5280; 0; 235; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5400; 0; 236; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5510; 0; 237; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5620; 0; 238; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5739; 0; 239; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5849; 0; 240; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.5959; 0; 241; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6068; 0; 242; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6178; 0; 243; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6293; 0; 244; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6402; 0; 245; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6512; 0; 246; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6622; 0; 247; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6732; 0; 248; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6851; 0; 249; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.6961; 0; 250; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.7071; 0; 251; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.7190; 0; 252; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.7295; 0; 253; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.7405; 0; 254; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.7525; 0; 255; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.7634; 0; 256; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
12-03-2025 13:58:37.7744; 0; 257; None; ; ; ; 0; 0; 0; Fist; 0; Moving to Box
