EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GoalGesture,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ
10,11,12,-90,1,35,12,13,extension,0.24,0.6,0.6,0.2901544,0.604128,0.4192374
-3,-8,16,17,10,-2,-3,-3,extension,0.24,0.6,0.6,0.2901544,0.604128,0.4192374
4,13,30,37,6,3,6,0,extension,0.24,0.6,0.6,0.290453,0.6047145,0.4202783
13,15,-14,18,67,10,-10,6,extension,0.24,0.6,0.6,0.290453,0.6047145,0.4202783
1,4,19,9,30,13,7,5,extension,0.24,0.6,0.6,0.290453,0.6047145,0.4202783
6,13,24,39,-8,-14,-1,-3,extension,0.24,0.6,0.6,0.290453,0.6047145,0.4202783
-1,-1,9,46,4,-10,2,-6,extension,0.24,0.6,0.6,0.2904276,0.6055872,0.4211183
1,2,-10,-21,-35,-7,0,5,extension,0.24,0.6,0.6,0.2904276,0.6055872,0.4211183
-7,3,20,74,-7,4,7,-11,extension,0.24,0.6,0.6,0.2904276,0.6055872,0.4211183
-2,-10,15,83,-37,-46,-29,-8,extension,0.24,0.6,0.6,0.2904276,0.6055872,0.4211183
10,20,41,28,-29,19,16,12,extension,0.24,0.6,0.6,0.2902617,0.6066301,0.4220197
-15,-24,-86,-57,0,-14,-11,-4,extension,0.24,0.6,0.6,0.2902617,0.6066301,0.4220197
3,3,4,9,26,14,4,2,extension,0.24,0.6,0.6,0.2902617,0.6066301,0.4220197
-1,-2,-4,-36,33,12,3,-3,extension,0.24,0.6,0.6,0.2902617,0.6066301,0.4220197
0,-11,-4,20,-63,-32,-19,0,extension,0.24,0.6,0.6,0.2900962,0.607389,0.4228315
20,25,36,127,40,27,6,12,extension,0.24,0.6,0.6,0.2900962,0.607389,0.4228315
-4,-5,-6,-15,-22,-7,-10,-4,extension,0.24,0.6,0.6,0.2900962,0.607389,0.4228315
-11,-19,-38,-33,52,26,-8,5,extension,0.24,0.6,0.6,0.2900962,0.607389,0.4228315
-5,-4,-12,-36,12,1,2,-5,extension,0.24,0.6,0.6,0.2899331,0.6077262,0.4231242
2,-4,18,44,-22,-12,-3,-2,extension,0.24,0.6,0.6,0.2899331,0.6077262,0.4231242
6,15,24,-42,-13,-12,-3,-1,extension,0.24,0.6,0.6,0.2897844,0.608058,0.4233869
-4,-6,-16,9,-28,-30,-23,-6,extension,0.24,0.6,0.6,0.2897844,0.608058,0.4233869
-26,-38,-29,30,31,-20,-11,-23,extension,0.24,0.6,0.6,0.289641,0.608391,0.4233084
-2,11,53,-11,-41,-3,-1,1,extension,0.24,0.6,0.6,0.289641,0.608391,0.4233084
3,9,17,63,18,-12,-7,-1,extension,0.24,0.6,0.6,0.289641,0.608391,0.4233084
-1,-2,-7,5,36,-3,-16,-8,extension,0.24,0.6,0.6,0.289641,0.608391,0.4233084
-7,-7,18,-72,8,1,-6,-2,extension,0.24,0.6,0.6,0.2889716,0.6087747,0.4235623
-3,4,10,-7,-5,-8,-7,-7,extension,0.24,0.6,0.6,0.2889716,0.6087747,0.4235623
-4,-16,-3,-1,-11,3,-5,-6,extension,0.24,0.6,0.6,0.2889716,0.6087747,0.4235623
7,11,-15,25,72,28,20,11,extension,0.24,0.6,0.6,0.2889716,0.6087747,0.4235623
-7,-13,-31,-100,34,23,4,-3,extension,0.24,0.6,0.6,0.28869,0.6087918,0.4237493
-11,-16,-23,-6,-25,-10,-14,-5,extension,0.24,0.6,0.6,0.28869,0.6087918,0.4237493
-8,-2,2,-36,-86,-27,4,-4,extension,0.24,0.6,0.6,0.2884346,0.6088415,0.4238136
8,9,-11,46,-13,2,14,3,extension,0.24,0.6,0.6,0.2884346,0.6088415,0.4238136
4,-3,-15,36,48,7,15,-2,extension,0.24,0.6,0.6,0.2878895,0.608875,0.4234691
-16,-10,-12,-40,-37,-24,-16,-5,extension,0.24,0.6,0.6,0.2878895,0.608875,0.4234691
18,16,-46,-53,-18,19,16,9,extension,0.24,0.6,0.6,0.2878895,0.608875,0.4234691
-10,-11,23,125,16,-15,-4,-11,extension,0.24,0.6,0.6,0.2878895,0.608875,0.4234691
10,11,-8,-39,44,19,7,7,extension,0.24,0.6,0.6,0.2875904,0.6089329,0.423491
-11,-4,-12,-1,3,-19,-14,-4,extension,0.24,0.6,0.6,0.2875904,0.6089329,0.423491
7,-4,-26,-66,20,18,14,4,extension,0.24,0.6,0.6,0.2874156,0.6089952,0.4236069
7,7,22,54,-3,7,5,2,extension,0.24,0.6,0.6,0.2874156,0.6089952,0.4236069
-6,-11,-1,-51,23,1,-10,-3,extension,0.24,0.6,0.6,0.287142,0.6088717,0.4237368
16,10,-30,-22,-3,16,22,8,extension,0.24,0.6,0.6,0.287142,0.6088717,0.4237368
-31,-28,24,-40,-22,-32,-39,-24,extension,0.24,0.6,0.6,0.287142,0.6088717,0.4237368
-1,-2,2,0,-25,12,18,2,extension,0.24,0.6,0.6,0.287142,0.6088717,0.4237368
-12,-12,-47,-57,-37,-11,-5,-11,extension,0.24,0.6,0.6,0.2866949,0.6088184,0.4238451
14,10,-1,67,59,11,-9,1,extension,0.24,0.6,0.6,0.2866949,0.6088184,0.4238451
-3,-10,-32,-71,-14,-8,1,-11,extension,0.24,0.6,0.6,0.2866949,0.6088184,0.4238451
-1,7,42,-51,-37,7,10,8,extension,0.24,0.6,0.6,0.2866949,0.6088184,0.4238451
3,9,42,124,54,7,2,2,extension,0.24,0.6,0.6,0.2862247,0.6089652,0.4237596
3,-4,-2,44,9,-3,-2,2,extension,0.24,0.6,0.6,0.2862247,0.6089652,0.4237596
-20,-30,-33,-65,-60,-46,-30,-15,extension,0.24,0.6,0.6,0.2862247,0.6089652,0.4237596
22,19,21,58,63,39,37,20,extension,0.24,0.6,0.6,0.2862247,0.6089652,0.4237596
5,13,35,49,8,11,4,8,extension,0.24,0.6,0.6,0.2856464,0.6090786,0.4238178
-11,-22,-26,-7,9,-18,-7,-9,extension,0.24,0.6,0.6,0.2856464,0.6090786,0.4238178
-2,-1,1,-8,-21,-10,-2,-1,extension,0.24,0.6,0.6,0.2854416,0.6091152,0.4238056
0,8,6,-39,-16,-7,-1,0,extension,0.24,0.6,0.6,0.2854416,0.6091152,0.4238056
-5,-4,-9,14,-45,-10,-4,-6,extension,0.24,0.6,0.6,0.2854416,0.6091152,0.4238056
-6,1,3,28,28,-5,0,-3,extension,0.24,0.6,0.6,0.2854416,0.6091152,0.4238056
0,5,-9,26,-1,-9,-9,-1,extension,0.24,0.6,0.6,0.2854416,0.6091152,0.4238056
-5,-20,-29,-71,22,-5,-14,-7,extension,0.24,0.6,0.6,0.2854416,0.6091152,0.4238056
4,10,32,47,-36,-3,2,0,extension,0.24,0.6,0.6,0.284996,0.6094611,0.423543
-22,-25,-28,-76,-45,-29,-13,-12,extension,0.24,0.6,0.6,0.284996,0.6094611,0.423543
3,9,38,27,-12,8,3,-1,extension,0.24,0.6,0.6,0.284996,0.6094611,0.423543
14,5,-4,-2,88,46,-3,8,extension,0.24,0.6,0.6,0.284996,0.6094611,0.423543
5,20,61,13,16,10,11,6,extension,0.24,0.6,0.6,0.2846773,0.6096816,0.4234074
