ID; Timestamp; FrameNumber; ActivatedCube; ActiveCubeX; ActiveCubeY; ActiveCubeZ; TrackerX; TrackerY; TrackerZ; GoalGesture; GesturesAtempted; AttemptsInCube; State; Event
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2410; 73; None; ; ; ; 0.213029; 0.6826022; 0.1448119; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2530; 74; None; ; ; ; 0.2148026; 0.682453; 0.1439493; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2640; 75; None; ; ; ; 0.2166765; 0.6823964; 0.1430657; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2750; 76; None; ; ; ; 0.2186125; 0.682415; 0.142339; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2859; 77; None; ; ; ; 0.220712; 0.6822002; 0.1414673; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.2969; 78; None; ; ; ; 0.2226854; 0.6820146; 0.1407709; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3079; 79; None; ; ; ; 0.2249283; 0.6817462; 0.1400068; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3188; 80; None; ; ; ; 0.2267695; 0.6812534; 0.1390316; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3308; 81; None; ; ; ; 0.228553; 0.6808634; 0.1385849; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3418; 82; None; ; ; ; 0.2301163; 0.6805508; 0.1375117; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3537; 83; None; ; ; ; 0.2321277; 0.6806468; 0.1365819; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3647; 84; None; ; ; ; 0.2334234; 0.6807579; 0.1354601; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3757; 85; None; ; ; ; 0.2352325; 0.6809734; 0.134445; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3867; 86; None; ; ; ; 0.2363938; 0.6812191; 0.1333764; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.3976; 87; None; ; ; ; 0.2373547; 0.6819267; 0.1326351; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4091; 88; None; ; ; ; 0.2388965; 0.6829852; 0.1321504; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4201; 89; None; ; ; ; 0.2398321; 0.6837404; 0.1314442; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4320; 90; None; ; ; ; 0.240593; 0.6849159; 0.1311555; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4430; 91; None; ; ; ; 0.2416104; 0.6860527; 0.1307654; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4540; 92; None; ; ; ; 0.2422724; 0.6873357; 0.1302862; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4650; 93; None; ; ; ; 0.2427433; 0.6888632; 0.1303232; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4759; 94; None; ; ; ; 0.2435962; 0.6903919; 0.1302578; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4869; 95; None; ; ; ; 0.2439554; 0.6921356; 0.1301882; extension; 0; ; Moving to rest position; 
06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2025-03-21 13:00:39.4989; 96; None; ; ; ; 0.2441934; 0.6939368; 0.1304469; extension; 0; ; Moving to rest position; 
